ACTA2
ADAMTS10
ADAMTS2
ALDH18A1
ATP6V0A2
B3GALT6
B4GALT7
CHST14
COL11A1
COL1A1
COL1A2
COL2A1
COL3A1
COL4A5
COL5A1
COL5A2
EFEMP2
ELN
FBLN5
FBN1
FBN2
FKBP14
FOXE3
LTBP2
LTBP4
MED12
MFAP5
MYH11
MYLK
NOTCH1
PLOD1
PRKG1
PYCR1
RIN2
SKI
SLC2A10
SLC39A13
SMAD2
SMAD3
TGFB1
TGFB2
TGFB3
TGFBR1
TGFBR2
