NPHP4
SDCCAG8
IFT172
NPHP1
TTC21B
IQCB1
NPHP3
WDR19
DCDC2
TMEM67
ANKS6
INVS
CEP164
CEP290
CCDC41
GLIS2
ZNF423
RPGRIP1L
NEK8
XPNPEP3
ATXN10
