SKI
PEX10
CAMTA1
PEX14
MTHFR
ATP13A2
ALDH4A1
DDOST
ALPL
HSPG2
WNT4
GALE
HMGCL
FUCA1
ARID1A
PIGV
SNIP1
PPT1
SLC2A1
ST3GAL3
MMACHC
POMGNT1
STIL
ORC1
DHCR24
BSND
ALG6
ACADM
AGL
DBT
GPSM2
ALX3
AP4B1
NRAS
PHGDH
HMGCS2
POGZ
ADAR
GBA
KCNJ10
PEX19
TMCO1
PRRX1
DARS2
LHX4
GLUL
ASPM
RAB3GAP2
ADCK3
GJC2
GNPAT
TBCE
LYST
MTR
FH
SDCCAG8
AKT3
COLEC11
MYCN
WDR35
DNMT3A
MPV17
SOS1
LRPPRC
SIX3
NRXN1
FANCL
PEX13
WDPCP
NFU1
SPR
ALMS1
BOLA3
MOGS
SUCLG1
ST3GAL5
EIF2AK3
ADRA2B
COA5
RANBP2
NPHP1
PAX8
GLI2
BIN1
ERCC3
RAB3GAP1
ZEB2
MBD5
MMADHC
ACVR1
IFIH1
SCN2A
SCN1A
LRP2
BBS5
GAD1
DCAF17
HIBCH
HSPD1
SATB2
TMEM237
NDUFS1
CPS1
ATIC
BCS1L
SLC19A3
DIS3L2
UGT1A1
HDAC4
CAPN10
KIF1A
AGXT
CRBN
SUMF1
ITPR1
FANCD2
TSEN2
RAF1
BTD
TGFBR2
GLB1
ACVR2B
CTNNB1
POMGNT2
ABHD5
TREX1
SLC25A20
AMT
DAG1
ACY1
RFT1
CACNA1D
WNT5A
HESX1
FOXP1
POU1F1
ARL6
CD96
ARHGAP31
UMPS
UROC1
ACAD9
NPHP3
CEP63
PCCB
ATR
SLC33A1
GFM1
SLC2A2
PIK3CA
SOX2
MCCC1
ALG3
MASP1
RNF168
KIAA0226
IDUA
FGFR3
EVC2
EVC
CC2D2A
QDPR
WDR19
SRD5A3
TMEM165
CEP135
SLC4A4
FRAS1
COQ2
MANBA
AIMP1
HADH
PRSS12
BBS7
BBS12
MFSD8
MMAA
ETFDH
NEK1
AGA
SDHA
SLC6A3
NSUN2
MTRR
FAM134B
NIPBL
C5orf42
HCN1
MOCS2
NDUFS4
PDE4D
ERCC8
NDUFAF2
MCCC2
HEXB
DHFR
MEF2C
NR2F1
TTC37
HSD17B4
ALDH7A1
MEGF10
SLC22A5
RAD50
