ARID1A
SLC2A1
SZT2
ST3GAL3
GATAD2B
NRXN1
ZEB2
MBD5
SCN2A
SCN1A
SLC19A3
CTNNB1
MEF2C
GABRG2
SYNGAP1
ARID1B
CNTNAP2
SMARCA2
STXBP1
SPTAN1
GRIN1
EHMT1
SLC25A22
PACS1
KIRREL3
GRIN2B
SCN8A
FOXG1
DYNC1H1
UBE3A
POLG
TBC1D24
GRIN2A
GNAO1
CTCF
CDH15
RAI1
KANSL1
PNPO
TCF4
SMARCA4
PNKP
PLCB1
KCNQ2
DYRK1A
SMARCB1
CDKL5
ARX
CASK
ARHGEF9
OPHN1
ATRX
PCDH19
CUL4B
SLC9A6
SLC6A8
MECP2
