LAMC2
PKP1
LAMB3
ITGA6
COL7A1
DSP
DST
PLEC
COL17A1
EXPH5
KRT5
KRT1
ATP2A2
TGM5
KRT10
KRT14
ITGA3
ITGB4
LAMA3
FERMT1
