CTSK
PVRL4
EDARADD
EDAR
WNT10A
IFT122
TP63
FGFR3
MSX1
EVC2
EVC
PITX2
FGF10
POLR1C
RUNX2
GJA1
SMOC2
GRHL2
RECQL4
FGFR2
LTBP3
PVRL1
POLR3B
TBX3
GJB6
NFKBIA
PAX9
UBR1
CDH3
AXIN2
OFD1
PORCN
EDA
FLNA
