ASXL1
BMP4
CDC45
CHD7
COL11A1
COL11A2
COL2A1
COL9A1
COL9A2
COLEC11
DHODH
EDN1
EDNRA
EFNB1
EFTUD2
EIF4A3
ERF
EYA1
FGFR1
FGFR2
FGFR3
GNAI3
GRHL3
GSC
IHH
IL11RA
IRF6
MEGF8
MSX1
MSX2
PAX1
PLCB4
POLR1A
POLR1C
POLR1D
POR
PVRL1
RAB23
RUNX2
SALL1
SALL4
SEMA3E
SF3B4
SIX1
SIX5
SKI
SNRPB
SUMO1
TBX1
TCF12
TCOF1
TGDS
TP63
TWIST1
TXNL4A
UBB
WDR35
ZIC1
