ABCB7
ABCD1
ABHD12
ACAT1
ADCK3
ADCY5
AFG3L2
ALDH18A1
ALDH3A2
ALS2
AMN
AMPD2
AMT
ANO10
ANO3
AP4B1
AP4E1
AP4M1
AP4S1
AP5Z1
APTX
ARG1
ARSA
ATCAY
ATL1
ATM
ATP13A2
ATP1A2
ATP1A3
ATP2B3
ATP7B
AUH
B4GALNT1
BCAP31
BCKDHA
BCKDHB
BICD2
BSCL2
C10orf2
C12orf65
C19orf12
CA8
CACNA1A
CACNA1G
CACNB4
CAPN1
CASK
CBS
CCT5
CHMP1A
CLP1
COASY
COQ2
COQ9
CP
CSF1R
CUBN
CYP27A1
CYP2U1
CYP7B1
DARS2
DBT
DCAF17
DCTN1
DDC
DDHD1
DDHD2
DLAT
DNMT1
EIF2B1
EIF2B2
EIF2B3
EIF2B4
EIF2B5
ELOVL5
ENTPD1
ERLIN2
EXOSC3
EXOSC8
FA2H
FAR1
FBXO7
FGF14
FLVCR1
FOLR1
FTL
FXN
GALC
GAMT
GAN
GBA
GBA2
GCDH
GCH1
GCSH
GFAP
GIF
GJC2
GLB1
GLDC
GNAL
GOSR2
GRID2
GRM1
HEXB
HMGCL
HMGCS2
HPRT1
HSD17B10
HSPD1
ITPR1
KCNA1
KCNC3
KCND3
KCNJ10
KCNMA1
KIAA0196
KIF1A
KIF1C
KIF5A
L1CAM
LMBRD1
MAG
MICU1
MMAA
MMAB
MMACHC
MRE11A
MTHFR
MTPAP
MTR
MTRR
MTTP
MUT
NIPA1
NKX2-1
NOL3
NPC1
NPC2
NT5C2
NUP62
OPA1
OPHN1
OXCT1
PANK2
PARK2
PARK7
PCBD1
PCCA
PCCB
PDE10A
PDE8B
PDGFB
PDGFRB
PDHA1
PDHX
PDSS1
PDSS2
PDYN
PEX10
PGAP1
PHYH
PIK3R5
PLA2G6
PLP1
PNKD
PNPLA6
POLG
POLR3A
POLR3B
PRKCG
PRKRA
PRRT2
PTS
QDPR
RARS2
REEP1
RNF170
RTN2
SACS
SAMHD1
SEPSECS
SERAC1
SETX
SGCE
SIL1
SLC16A2
SLC19A3
SLC1A3
SLC20A2
SLC25A15
SLC2A1
SLC30A10
SLC33A1
SLC52A2
SLC52A3
SLC6A3
SLC9A6
SMPD1
SNCA
SNX14
SPAST
SPG11
SPG20
SPG21
SPG7
SPR
SPTBN2
STUB1
SUOX
SYNE1
TAF1
TDP1
TECPR2
TGM6
TH
THAP1
TIMM8A
TMEM240
TMEM67
TOR1A
TPP1
TSEN2
TSEN54
TTBK2
TTC19
TTPA
TUBB4A
VAMP1
VLDLR
VPS13A
VPS37A
VPS53
VRK1
WDR45
WDR81
WWOX
XK
XPR1
ZFYVE26
