ACD
ACP5
ADA
ADAR
AICDA
AIRE
AK2
AP3B1
ATM
B2M
BCL10
BLM
BLNK
BLOC1S6
BRCA2
BRIP1
BTK
C15orf41
C1QA
C1QB
C1QC
C1S
C2
C3
C5
C6
C7
C8A
C8B
C9
CA2
CARD11
CARD9
CASP10
CASP8
CD19
CD247
CD27
CD3D
CD3E
CD3G
CD40
CD40LG
CD79A
CD79B
CD81
CD8A
CDAN1
CEBPE
CFB
CFD
CFH
CFHR5
CFI
CFP
CHD7
CIITA
CLCN7
CLEC7A
COLEC11
COPA
CORO1A
CR2
CSF2RA
CSF2RB
CSF3R
CTC1
CTLA4
CTPS1
CTSC
CXCR4
CYBA
CYBB
DCLRE1C
DKC1
DNMT3B
DOCK2
DOCK8
DTNBP1
ELANE
EPG5
ERCC2
ERCC3
ERCC4
ERCC6L2
F12
FADD
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FAS
FASLG
FCGR3A
FCN3
FERMT3
FOXN1
FOXP3
G6PC
G6PC3
G6PD
GATA1
GATA2
GFI1
GTF2H5
HAX1
HPS1
HPS3
HPS4
HPS5
HPS6
ICOS
IFIH1
IFNGR1
IFNGR2
IGLL1
IKBKB
IKZF1
IL10
IL10RA
IL10RB
IL12B
IL12RB1
IL17F
IL17RA
IL17RC
IL1RN
IL21
IL21R
IL2RA
IL2RG
IL36RN
IL7R
IRAK4
IRF7
IRF8
ISG15
ITCH
ITGB2
ITK
JAGN1
JAK3
KMT2D
LAMTOR2
LCK
LIG4
LPIN2
LRBA
LRRC8A
LYST
MAGT1
MALT1
MASP2
MBL2
MBTPS2
MCM4
MEFV
MLPH
MPO
MRE11A
MS4A1
MTHFD1
MVK
MYD88
MYH9
MYO5A
NBN
NCF2
NCF4
NFKB1
NFKB2
NFKBIA
NHEJ1
NHP2
NLRC4
NLRP1
NLRP12
NLRP3
NOD2
NOP10
NRAS
ORAI1
OSTM1
PALB2
PARN
PGM3
PIEZO1
PIK3CD
PIK3R1
PLCG2
PLEKHM1
PNP
PRF1
POLE
PRKCD
PRKDC
PSMB8
PSTPIP1
PTPRC
RAB27A
RAC2
RAD50
RAD51C
RAG1
RAG2
RASGRP2
RBCK1
RBM8A
RECQL4
RFX5
RFXANK
RFXAP
RHAG
RHOH
RLTPR
RNASEH2A
RNASEH2B
RNASEH2C
RNF168
RNF31
RORC
RPL11
RPL15
RPL26
RPL35A
RPL5
RPS10
RPS19
RPS24
RPS26
RPS29
RPS7
RPSA
RTEL1
RUNX1
SAMHD1
SBDS
SERPING1
SH2D1A
SKIV2L
SLC29A3
SLC35C1
SLC37A4
SLC46A1
SLX4
SMARCAL1
SNX10
SP110
SPINK5
SRP72
STAT1
STAT2
STAT3
STAT5B
STIM1
STK4
STX11
STXBP2
TAP1
TAP2
TAPBP
TAZ
TBX1
TCF3
TCIRG1
TCN2
TERT
TFRC
TGFB1
THBD
TICAM1
TINF2
TLR3
TMC6
TMC8
TMEM173
TNFRSF11A
TNFRSF13B
TNFRSF13C
TNFRSF1A
TNFRSF4
TNFSF11
TNFSF12
TPP2
TRAF3
TRAF3IP2
TREX1
TRNT1
TTC37
TTC7A
TYK2
UNC119
UNC13D
UNG
USB1
VPS13B
VPS45
WAS
WIPF1
WRAP53
XIAP
ZAP70
ZBTB24
