KCND3
AP4B1
SPAST
REEP1
CACNB4
HSPD1
ALS2
ITPR1
SLC33A1
CYP2U1
SLC1A3
SYNE1
AP5Z1
AP4M1
VPS37A
ERLIN2
TTPA
CYP7B1
KIAA0196
APTX
FXN
SETX
BSCL2
ATM
KCNA1
KIF5A
C12orf65
SACS
SPG20
FGF14
ATL1
DDHD1
ZFYVE26
TDP1
NIPA1
TTBK2
SPG11
AP4E1
SPG21
FA2H
SPG7
AFG3L2
PNPLA6
CACNA1A
KCNC3
PRKCG
PDYN
TGM6
SLC16A2
PLP1
L1CAM
