AAAS
AASS
ABCC9
ABCD1
ABCD4
ABHD5
ACAD9
ACADM
ACADS
ACADVL
ACAT1
ACO2
ACOX1
ACSL4
ACTA2
ACTB
ACTG1
ACVR1
ACVR2B
ACY1
ADAR
ADCK3
ADK
ADNP
ADRA2B
ADSL
AFF2
AFG3L2
AGA
AGK
AGL
AGXT
AHDC1
AIFM1
AIMP1
AKT1
AKT3
ALDH18A1
ALDH3A2
ALDH4A1
ALDH5A1
ALDH7A1
ALDOA
ALDOB
ALG1
ALG11
ALG12
ALG13
ALG2
ALG3
ALG6
ALG8
ALG9
ALMS1
ALPL
ALX1
ALX3
ALX4
AMER1
AMPD2
AMT
ANKRD11
AP1S2
AP4B1
AP4E1
AP4M1
AP4S1
APOPT1
APTX
ARFGEF2
ARG1
ARHGAP31
ARHGEF6
ARHGEF9
ARID1A
ARID1B
ARL6
ARSA
ARSE
ARX
ASAH1
ASL
ASPA
ASPM
ASS1
ASXL1
ASXL3
ATIC
ATM
ATP13A2
ATP1A3
ATP6AP2
ATP7A
ATR
ATRX
AUH
AUTS2
B3GALNT2
B4GALT7
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BCAP31
BCKDHA
BCKDHB
BCOR
BCS1L
BICD2
BIN1
BLM
BMP4
BMPER
BOLA3
BRAF
BRAT1
BRCA2
BRIP1
BRWD3
BSND
BTD
BUB1B
C12orf57
C12orf65
C2CD3
C5orf42
CA2
CA5A
CA8
CACNA1C
CACNA1D
CAMTA1
CASK
CBL
CBS
CC2D1A
CC2D2A
CCBE1
CCDC22
CCDC78
CCND2
CD96
CDC6
CDH15
CDK5RAP2
CDKL5
CDKN1C
CDON
CENPJ
CEP135
CEP152
CEP290
CEP41
CEP57
CEP63
CHD2
CHD7
CHMP1A
CHST14
CKAP2L
CLCN4
CLN3
CLN5
CLN6
CLN8
CLP1
CLPP
CNTNAP2
COA5
COASY
COG1
COG4
COG5
COG7
COG8
COL18A1
COL4A1
COL4A2
COL4A3BP
COLEC11
COQ2
COQ9
COX10
COX15
COX7B
CPS1
CRADD
CRBN
CREBBP
CSPP1
CSTB
CTC1
CTCF
CTDP1
CTNNB1
CTSA
CTSD
CUL4B
CYB5R3
CYC1
DAG1
DARS
