ACTB
ACTG1
AKT1
AKT3
AMPD2
AP1S2
ARFGEF2
ARX
ASNS
ASPM
ASXL1
ATP6V0A2
ATR
B3GALNT2
B3GNT1
CASC5
CASK
CCDC22
CCND2
CDK5
CDK5RAP2
CENPJ
CEP152
CHMP1A
CLP1
CNTNAP2
COL18A1
COL4A1
COL4A2
CRB2
CUL4B
DAG1
DCHS1
DCX
DEPDC5
DKC1
DNMT3A
DYNC1H1
EMG1
EML1
EPG5
ERCC1
ERCC5
ERCC6
ERMARD
EXOSC3
EXOSC8
EZH2
FAT4
FKRP
FKTN
FLNA
FLVCR2
GFAP
GMPPB
GPR56
GPSM2
HEPACAM
IER3IP1
ISPD
JAM3
KATNB1
KIAA0196
KIAA1279
KIF11
KIF2A
KIF5C
KPTN
L1CAM
LAMA2
LAMB1
LAMC3
LARGE
MCPH1
MED12
MLC1
MTOR
MYCN
NBN
NDE1
NFIX
NSD1
NSDHL
OCLN
OFD1
OPHN1
PAFAH1B1
PCNT
PIK3CA
PIK3R2
PLK4
PNKP
POMGNT1
POMGNT2
POMK
POMT1
POMT2
PTEN
PTF1A
QARS
RAB18
RAB3GAP1
RAB3GAP2
RARS2
RBBP8
RBM10
RELN
RTEL1
RTTN
SEPSECS
SLC25A19
SNAP29
SRD5A3
STAMBP
STIL
STRADA
TBC1D20
TBC1D7
TMEM5
TRAIP
TSC1
TSC2
TSEN2
TSEN54
TUBA1A
TUBA8
TUBB
TUBB4A
TUBG1
TUBGCP4
TUBGCP6
VLDLR
VPS13B
VPS53
VRK1
WDR62
