NPHP1
TTC21B
TMEM237
PDE6D
ARL13B
CC2D2A
C5orf42
AHI1
CEP41
CSPP1
TMEM67
INPP5E
TCTN3
TMEM138
TMEM216
CEP290
TCTN1
TCTN2
KIF7
ZNF423
RPGRIP1L
TMEM231
ATXN10
OFD1
