GJB4
GJB3
FLG
LOR
ERCC3
ABCA12
ABHD5
CSTA
CLDN1
SPINK5
NIPAL4
CDSN
PNPLA1
ELOVL4
GTF2H5
AP1S1
SLURP1
SLC27A4
LIPN
ST14
KRT2
KRT1
GJB2
GJB6
POMP
TGM1
TGM5
CERS3
TRPV3
ALOX12B
ALOXE3
KRT10
KRT9
DSG1
CYP4F22
ERCC2
SNAP29
STS
MBTPS2
EBP
