NPHP4
NMNAT1
CCDC28B
RPE65
CRB1
RD3
SDCCAG8
WDR35
DRC1
IFT172
WDPCP
ALMS1
NPHP1
TTC21B
BBS5
TMEM237
PDE6D
KCNJ13
LZTFL1
ZMYND10
ARL13B
ARL6
IQCB1
IFT122
NPHP3
IFT80
CCDC39
EVC2
EVC
CC2D2A
WDR19
BBS7
BBS12
LRAT
NEK1
DNAH5
C5orf42
CCNO
CEP120
DCDC2
TULP1
PRPH2
RSPH9
LCA5
RSPH4A
AHI1
HEATR2
DNAH11
BBS9
IMPDH1
CEP41
WDR60
CSPP1
TMEM67
SPAG1
LRRC6
DNAI1
ANKS6
INVS
TRIM32
WDR34
INPP5E
ARMC4
TCTN3
BBIP1
TMEM138
TMEM216
BBS1
CABP4
DYNC2H1
CEP164
CCDC65
BBS10
CEP290
CCDC41
TCTN1
TCTN2
RPGRIP1
DNAAF2
RDH12
DNAL1
IFT43
SPATA7
TTC8
DYX1C1
BBS4
KIF7
IFT140
GLIS2
ZNF423
RPGRIP1L
BBS2
TMEM231
DNAAF1
AIPL1
GUCY2D
B9D1
NEK8
CCDC103
MKS1
DNAI2
CCDC40
CCDC151
B9D2
CRX
CCDC114
DNAAF3
MKKS
C21orf59
RSPH1
IFT27
XPNPEP3
ATXN10
OFD1
RPGR
