DRC1
ZMYND10
CCDC39
DNAH5
CCNO
RSPH9
RSPH4A
HEATR2
DNAH11
SPAG1
LRRC6
DNAI1
ARMC4
CCDC65
DNAAF2
DNAL1
DYX1C1
DNAAF1
CCDC103
DNAI2
CCDC40
CCDC151
CCDC114
DNAAF3
C21orf59
RSPH1
OFD1
RPGR
