CCDC28B
SDCCAG8
WDPCP
ALMS1
BBS5
LZTFL1
ARL6
BBS7
BBS12
BBS9
TMEM67
TRIM32
BBIP1
BBS1
BBS10
CEP290
TTC8
BBS4
BBS2
MKS1
MKKS
IFT27
