AARS
ABAT
ADAR
ADRA2B
ADSL
AFG3L2
AGTR2
ALDH7A1
ALG13
AMT
ARHGEF9
ARX
ASAH1
ASNS
ATP13A2
ATP1A2
ATP1A3
ATP6AP2
ATP7A
BRWD3
CACNA2D1
CDKL5
CERS1
CHD2
CHRNA2
CHRNA4
CHRNB2
CLN3
CLN5
CLN6
CLN8
CNKSR2
CNNM2
CNTNAP2
CPA6
CSTB
CTSD
CTSF
DEAF1
DEPDC5
DNAJC5
DNM1
DOCK7
DOLK
DPM1
DPYD
DYRK1A
EEF1A2
EPM2A
FOLR1
FOXG1
GABRA1
GABRB3
GABRG2
GAL
GAMT
GATM
GCSH
GLDC
GNAO1
GOSR2
GRIA3
GRIN1
GRIN2A
GRIN2B
GRN
HCN1
HNRNPU
HSD17B10
KCNA1
KCNA2
KCNB1
KCNC1
KCNH1
KCNJ10
KCNMA1
KCNQ2
KCNQ3
KCNT1
KCTD7
KDM5C
KIF1A
LGI1
LIAS
LMNB2
MAGI2
MAPK10
MBD5
MECP2
MEF2C
MFSD8
NECAP1
NHLRC1
NR2F1
NRXN1
PAK3
PCDH19
PIGA
PIGN
PIGO
PIGQ
PIGT
PIGW
PLCB1
PNKP
PNPO
POLG
PPT1
PRICKLE1
PRICKLE2
PRRT2
PURA
QARS
RAB39B
RBSN
RELN
RNASEH2A
RNASEH2B
RNASEH2C
ROGDI
SAMHD1
SCARB2
SCN1A
SCN1B
SCN2A
SCN3A
SCN8A
SCN9A
SERPINI1
SIK1
SLC12A5
SLC13A5
SLC25A22
SLC2A1
SLC35A2
SLC6A1
SLC6A8
SLC9A6
SPTAN1
SRPX2
ST3GAL3
ST3GAL5
STX1B
STXBP1
STYXL1
SUMF1
SYN1
SYNGAP1
SYP
SZT2
TBC1D24
TCF4
TPP1
TREX1
TRPM6
TSC1
TSC2
UBE3A
WDR45
WWOX
