AARS2
AASS
ABAT
ABCC8
ABCD1
ABCD4
ABHD12
ABHD5
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAT1
ACO2
ACOX1
ACSF3
ADA
ADAR
ADCK3
ADK
ADSL
AFG3L2
AGA
AGK
AGL
AGPS
AGXT
AHCY
AIFM1
AKR1D1
ALAD
ALAS2
ALDH18A1
ALDH3A2
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDOA
ALDOB
ALG1
ALG11
ALG12
ALG13
ALG2
ALG3
ALG6
ALG8
ALG9
ALPL
AMACR
AMN
AMPD1
AMPD2
AMT
ANTXR2
AP1S1
AP5Z1
APOPT1
APRT
ARG1
ARSA
ARSB
ASAH1
ASL
ASNS
ASPA
ASS1
ATIC
ATP13A2
ATP5E
ATP6V0A2
ATP7A
ATP7B
ATPAF2
AUH
B4GALNT1
B4GALT1
B4GALT7
BAAT
BCKDHA
BCKDHB
BCKDK
BCS1L
BOLA3
BTD
C10orf2
C12orf65
C19orf12
CA5A
CACNA1A
CARS2
CBS
CCDC88C
CD320
CEP89
CERS1
CHCHD10
CHKB
CLDN16
CLN3
CLN5
CLN6
CLN8
CLPB
CLPP
CNKSR2
COA5
COA6
COASY
COG1
COG2
COG4
COG5
COG6
COG7
COG8
COQ2
COQ4
COQ9
COX10
COX15
COX4I2
COX6B1
CP
CPOX
CPS1
CPT1A
CPT2
CTH
CTNS
CTSA
CTSD
CTSF
CTSK
CUBN
CWF19L1
CYP27A1
CYP7B1
D2HGDH
DARS2
DBH
DBT
DCAF17
DDC
DGUOK
DHCR24
DHCR7
DHFR
DHODH
DIAPH1
DLAT
DLD
DMGDH
DNA2
DNAJC19
DNAJC3
DNAJC5
DNM1L
DOLK
DPAGT1
DPM1
DPM3
DPYD
DPYS
DUOX2
DUOXA2
EARS2
EBP
ECHS1
ECSIT
EIF2B1
EIF2B2
EIF2B3
EIF2B4
EIF2B5
ELAC2
ELOVL4
ELOVL5
ENO3
EPG5
EPHX1
EPM2A
ERCC6
ETFA
ETFB
ETFDH
ETHE1
EXOSC8
EXT1
EXT2
FA2H
FAH
FAR1
FARS2
FASTKD2
FBP1
FBXL4
FDX1L
FECH
FH
FIG4
FLAD1
